Site,Plant,Sex,Individual,PhenotypeA,PhenotypeB
Site 10,3,Male,11,1.5408962755329383,1.191670269923516
Site 10,3,Male,12,2.390192307625034,1.2109743023467439
Site 10,3,Female,13,1.7818921701976607,1.0259217323045058
Site 10,3,Male,14,2.4141881911441425,2.121942749032962
Site 10,3,Female,15,2.054931332092572,1.4558646919025995
Site 10,3,Male,16,2.4125213310497475,1.9026253340161459
Site 10,3,Male,17,2.310725451423797,1.6064512303456795
Site 10,3,Male,18,1.6620669506248846,2.267846643037883
Site 10,3,Female,19,2.5147946491081665,0.6445915172639931
Site 10,3,Male,20,1.851089534436555,1.7477515189928003
Site 10,4,Male,1,1.792970648020633,1.5107206078814843
Site 10,4,Male,2,2.2712114775593806,1.12809852792192
Site 10,4,Male,3,2.286261788118632,1.5621971264257064
Site 10,4,Female,4,1.2520868918601598,1.0561894326745798
Site 10,4,Male,5,2.3717470153760027,1.6505042406721302
Site 10,4,Female,6,2.4310186119183785,2.8777543094322784
Site 10,4,Male,7,1.793828211477245,1.5432824115914872
Site 10,4,Male,8,2.0269670611110615,1.3884056968082568
Site 10,4,Male,9,1.8793300134777344,1.7654027066098317
Site 10,4,Female,10,2.0332700015198646,1.0435479201371338
Site 10,4,Female,11,2.0640680482926173,1.3552119393578927
Site 10,4,Female,12,1.861432011134836,2.046816953626036
Site 10,4,Male,13,2.1939310971940937,1.7466992453214314
Site 10,4,Male,14,2.156787655897553,1.3598198596814242
Site 10,4,Male,15,1.7883489691818326,1.2911603600030528
Site 10,4,Male,16,2.0583333506586117,0.9349236946079256
Site 10,4,Male,17,2.462807785472648,1.7350630834803475
Site 10,4,Male,18,2.7084196267918483,2.5455689891092486
Site 10,4,Male,19,1.9154838359728943,1.0583573175390473
Site 10,4,Male,20,2.394315043588443,0.8338854757965769
Site 10,5,Female,1,2.201322498123554,1.8133500593787286
Site 10,5,Female,2,2.1573078440218696,1.9307502394734366
Site 10,5,Male,3,2.3344102902025963,1.5639146805804058
Site 10,5,Male,4,2.0898876452356463,2.4392794170241805
Site 10,5,Male,5,2.495298382443399,0.7742516829403645
Site 10,5,Female,6,2.3513055213330953,1.7074554489944382
Site 10,5,Male,7,2.4411898155059886,1.5058172267453167
Site 10,5,Female,8,1.9209138646396484,1.911254195464618
Site 10,5,Female,9,2.086013468430395,1.773958889407564
Site 10,5,Male,10,1.9842020750075677,1.968936246875348
Site 10,5,Female,11,2.2765668793020124,2.2672452814877695
Site 10,5,Male,12,2.532034070322012,2.8201614944111992
Site 10,5,Female,13,1.9296743388676263,2.2888069914815787
Site 10,5,Female,14,2.4240626657841853,0.8892899635152455
Site 10,5,Male,15,2.6727703107557756,1.502222074144945
Site 10,5,Male,16,2.4685308891487323,2.4338556816230774
Site 10,5,Male,17,2.3692593951805483,1.5979102597249302
Site 10,5,Male,18,2.1076413472997486,2.226150365027828
Site 10,5,Male,19,2.2572111160499664,1.149881397454752
Site 10,5,Female,20,2.0100798928402686,2.0872724944939955
Site 11,1,Female,1,1.7487407757627205,2.9432019330145645
Site 11,1,Female,2,1.9960533097385305,3.315966727825877
Site 11,1,Male,3,1.0776955346201644,2.336225215031723
Site 11,1,Male,4,2.1554606987632203,3.45708154713935
Site 11,1,Female,5,1.8670022036822926,3.3560436484908336
Site 11,1,Female,6,2.6590228568130376,3.2202110836580635
Site 11,1,Female,7,1.8723031601615214,2.9088998581261154
Site 11,1,Male,8,2.5524179200185872,3.5360753238472182
Site 11,1,Male,9,2.48982865375542,3.2684557356678132
Site 11,1,Male,10,1.6818352825638656,2.8888539654692047
Site 11,1,Female,11,1.9584956521126187,2.6284812168921117
Site 11,1,Female,12,2.0315363422077977,3.4545624210530015
Site 11,1,Male,13,2.0958412686604757,2.7806862937414776
Site 11,1,Male,14,1.3583567498491473,2.720993068853126
Site 11,1,Male,15,2.0013041143712016,3.359730941805041
Site 11,1,Female,16,1.5948546017875163,3.634995710118067
Site 11,1,Male,17,1.6813612575794146,2.9631430713219737
Site 11,1,Male,18,1.942863076875888,3.0876165242639138
Site 11,1,Male,19,2.2135305791337823,2.4589276501096355
Site 11,1,Female,20,0.7654714794738822,2.963145313452386
Site 11,2,Female,1,2.1477735941629152,2.70196211191793
Site 11,2,Male,2,1.1495344035437793,3.9711595267099145
Site 11,2,Female,3,1.3939755381685046,3.570015540132064
Site 11,2,Male,4,1.307959141956549,2.6098185437980144
Site 11,2,Male,5,1.0643803146730209,3.197094823532758
Site 11,2,Female,6,1.7039433692697898,2.69010238452319
Site 11,2,Male,7,2.008057380778467,4.080226746006935
Site 11,2,Female,8,2.2521695329119966,3.8556741731344792
Site 11,2,Male,9,1.7966206087076877,2.517537075809027
Site 11,2,Male,10,1.052125428047882,2.784640758730718
Site 11,2,Male,11,2.4054190800339517,2.99543242639637
Site 11,2,Male,12,2.482026722741569,2.601657265852868
Site 11,2,Male,13,1.8041742800988785,3.2960107432637984
Site 11,2,Female,14,1.5031221246149378,3.8115650000327888
Site 11,2,Female,15,1.3038267739958127,3.2831518802134934
Site 11,2,Male,16,1.693467004357307,2.4223119254030347
Site 11,2,Female,17,1.5746178827591422,3.232098149637937
Site 11,2,Male,18,1.9184139239760105,2.892708802807471
Site 11,2,Male,19,1.0302902721220704,2.417406104154243
Site 11,2,Male,20,1.45216895882456,3.7242063077562304
Site 11,3,Male,1,1.841399838708858,2.5780823490663156
Site 11,3,Male,2,0.830916572684362,3.7358335393916247
Site 11,3,Female,3,1.2873648076880884,2.7429565071686994
Site 11,3,Female,4,1.5768692510893045,3.650285889590217
Site 11,3,Male,5,1.6892070278405154,3.3519770915675124
Site 11,3,Male,6,2.5424543030718145,2.870299576669506
Site 11,3,Female,7,1.0313613099429495,3.8204991800828623
Site 11,3,Male,8,1.0512103419973133,2.6260667686347756
Site 11,3,Female,9,1.4513866807477303,3.7937049550172235
Site 11,3,Male,10,0.9514818836075133,2.8359253845673797
Site 11,3,Male,11,2.126045453405814,3.8315610751277416
Site 11,3,Male,12,2.184404372032283,3.344311967989043
Site 11,3,Female,13,1.0556911940724207,3.6648012409775585
Site 11,3,Male,14,1.6665449912466834,3.499134205327365
Site 11,3,Male,15,1.6488963181081449,3.0234524997966536
Site 11,3,Male,16,0.4078635364258094,3.4642829696885022
Site 11,3,Female,17,1.674252378195564,3.3342407856639333
Site 11,3,Female,18,2.098375199159504,3.5526310804650056
Site 11,3,Male,19,1.7138184926012132,2.065638708396291
Site 11,3,Female,20,2.0596702371445272,3.7584467097596908
Site 11,4,Male,1,0.9532904444669938,2.912819705967507
Site 11,4,Male,2,0.8063563155803545,3.225824052949549
Site 11,4,Female,3,1.4956880500230745,2.644959082230792
Site 11,4,Male,4,1.615652613450939,3.1412096269854755
Site 11,4,Male,5,1.9814394009320626,3.4224498574987647
Site 11,4,Male,6,1.074244278535096,2.8147096335864634
Site 11,4,Male,7,1.391022071940176,3.686538407208496
Site 11,4,Male,8,2.5044175481664848,2.3256583029104134
Site 11,4,Female,9,0.9028967172075641,3.085476407957585
Site 11,4,Male,10,2.650434740763245,2.6648722159995146
Site 11,4,Female,11,1.6796282044644506,3.5231813931197298
Site 11,4,Female,12,1.7031958376425398,3.1589778349030624
Site 11,4,Male,13,1.6973972145094012,2.7737767786115173
Site 11,4,Male,14,2.352176172305661,3.2691678581030708
Site 11,4,Male,15,2.001154025566432,3.2383444420371674
Site 11,4,Female,16,2.015932258165767,3.4229705574930636
Site 11,4,Male,17,2.622892960718117,2.726307046762234
Site 11,4,Female,18,1.7131151396448254,3.875928507520143
Site 11,4,Female,19,1.8873385449026587,2.5089795220322904
Site 11,4,Male,20,1.542865658480195,3.1771185824462873
Site 11,5,Male,1,1.9294154971906172,2.7983836702566074
Site 11,5,Female,2,1.6977265123661465,3.3655009843448336
Site 11,5,Female,3,2.2154177843801643,3.9764839272111967
Site 11,5,Female,4,2.3199493154820496,3.2878166360626224
Site 11,5,Female,5,2.3764448194394516,3.374671000162642
Site 11,5,Female,6,0.45744332373381247,3.5415977269312555
Site 11,5,Female,7,2.000246658865112,3.2024136864683848
Site 11,5,Male,8,1.5774466902558235,3.4666019901255885
Site 11,5,Male,9,1.946508057788382,2.823233223361927
Site 11,5,Female,10,2.437045792232419,2.8772248560599474
Site 11,5,Female,11,1.8434733074797538,2.40751758662336
Site 11,5,Male,12,1.7995660535325624,2.6220109578983766
Site 11,5,Female,13,2.401716100893062,3.1606765288508023
Site 11,5,Male,14,2.05533022276846,3.0442399450864155
Site 11,5,Female,15,2.913164181821802,2.4524294812645806
Site 11,5,Male,16,1.1917980834840576,2.639257035485454
Site 11,5,Female,17,2.1718540752242883,2.201674128100655
Site 11,5,Female,18,1.8967467355968355,3.225703193476335
Site 11,5,Female,19,2.293279541741556,3.548269461547205
Site 11,5,Male,20,1.980012534093595,3.0308986613761837
Site 12,1,Male,1,1.7531268732750973,1.8574867823869876
Site 12,1,Male,2,1.1415093994013423,1.1018477795558508
Site 12,1,Male,3,1.6920805747144374,1.7894004890212376
Site 12,1,Male,4,1.3098596600660886,1.8471024341197697
Site 12,1,Female,5,1.5055920371685043,1.2312483549793272
Site 12,1,Female,6,0.6925251268065888,2.086725587223047
Site 12,1,Female,7,1.4726077415524348,1.6180351966502702
Site 12,1,Female,8,0.5984109878523858,1.855552602617943
Site 12,1,Male,9,1.0536932478293504,1.6482806736338718
Site 12,1,Male,10,1.5202686044448563,2.8171821666570827
Site 12,1,Male,11,1.5391341363252335,2.2366578980244265
Site 12,1,Female,12,0.9804734822709426,1.902280973374072
Site 12,1,Male,13,1.949409189582512,1.4833580242193967
Site 12,1,Male,14,0.7107324031299446,2.364944563425258
Site 12,1,Female,15,1.805845539902665,0.6942990970745535
Site 12,1,Female,16,0.7360536928973681,2.2691143943005327
Site 12,1,Female,17,1.3724771168101488,2.4228163772052187
Site 12,1,Female,18,1.581680019473334,2.165414422033845
Site 12,1,Male,19,1.4449870836615797,2.40250814960213
Site 12,1,Male,20,1.673104733138307,1.9055599679478827
Site 12,2,Male,1,1.2439946952021974,1.700803769824055
Site 12,2,Male,2,2.322493913156633,1.6286784304590618
Site 12,2,Male,3,1.9339343558768074,1.3847274951557347
Site 12,2,Female,4,1.5326249032561763,2.06091543867068
Site 12,2,Male,5,1.072184346074612,1.998109115748553
Site 12,2,Female,6,1.6531230800422583,1.7458456788207544
Site 12,2,Male,7,1.346625639501751,1.9365077636381742
Site 12,2,Female,8,1.2092463506085882,1.7380974360661232
Site 12,2,Male,9,1.2499453783673629,2.061226318342839
Site 12,2,Female,10,1.1507484979473779,1.937726380578973
Site 12,2,Male,11,1.2125973385157853,1.9701436957483225
Site 12,2,Female,12,1.4393542699704698,1.1630694470310567
Site 12,2,Female,13,0.9325832651737329,1.222974423437667
Site 12,2,Male,14,1.4056743593071959,2.1354162361607942
Site 12,2,Male,15,1.622119293516933,2.3565159513571725
Site 12,2,Male,16,1.1136344464132506,1.8120783889442862
Site 12,2,Female,17,1.5775828759272879,2.3419358263439287
Site 12,2,Male,18,0.8770026059505625,1.816173228933001
Site 12,2,Male,19,0.9121184521295944,1.6967583484932367
Site 12,2,Male,20,1.3515393721956253,1.7180310564600596
Site 12,3,Female,1,1.9316671659864229,1.1551509626673666
Site 12,3,Male,2,1.092696069738515,2.08339717346705
Site 12,3,Male,3,1.3356683705947117,2.242815308864273
Site 12,3,Male,4,1.635236428190309,2.2669825499116287
Site 12,3,Male,5,1.235867430329787,2.4946966261155183
Site 12,3,Male,6,1.4356643111337732,1.815814685605574
Site 12,3,Male,7,1.9953183090794848,2.6297390509319714
Site 12,3,Male,8,1.2706306666109335,1.63581831747796
Site 12,3,Male,9,0.6556653951173247,1.6933441564030294
Site 12,3,Female,10,2.121175941267426,1.4697544054076181
Site 12,3,Male,11,2.124605430170797,1.3489760683265746
Site 12,3,Female,12,2.194090127943251,1.7196460731167502
Site 12,3,Female,13,0.44562363067761657,1.9414070540545263
Site 12,3,Female,14,0.9713214118603197,1.9851027848683263
Site 12,3,Male,15,2.155401556278231,1.7283222196344337
Site 12,3,Female,16,1.1997549315630522,2.3550038621046037
Site 12,3,Male,17,0.8442309437871169,1.303489779579631
Site 12,3,Female,18,0.9890611231381881,1.2093253044977859
Site 12,3,Male,19,1.9063632020567782,1.985097228327269
Site 12,3,Female,20,1.165292242396073,2.04292248103837
Site 12,4,Female,1,1.1880708102886819,2.4824121367030796
Site 12,4,Male,2,0.8165237203611284,1.6601175865708873
Site 12,4,Female,3,1.3568774837048743,2.4517546786667888
Site 12,4,Female,4,0.5872463557585338,1.6935082052169452
Site 12,4,Female,5,1.369148946993621,2.062644389278272
Site 12,4,Female,6,0.8335122789479419,2.290848857788743
Site 12,4,Male,7,0.729803180276542,2.342578989162619
Site 12,4,Male,8,1.538953872455845,1.464654872318163
Site 12,4,Female,9,1.1223504450507136,1.9839899879549052
Site 12,4,Male,10,1.3341323553082998,1.6367973964251716
Site 12,4,Female,11,1.2600060420774166,1.9332317013460738
Site 12,4,Male,12,1.201644295477078,2.1159666066224707
Site 12,4,Male,13,1.6791788661204425,2.01173945030161
Site 12,4,Male,14,0.9892069172299599,1.8445477127952412
Site 12,4,Female,15,1.4594409149349579,2.231906680434603
Site 12,4,Male,16,1.4971132240307317,2.890859439320598
Site 12,4,Female,17,2.2509581660292795,2.1930938456883338
Site 12,4,Male,18,1.2784305212227272,1.8876394429859107
Site 12,4,Male,19,1.3051649687743847,1.8303311578745598
Site 12,4,Male,20,2.2226649357438175,2.1252554035182487
Site 12,5,Female,1,1.503569734923665,2.121233727147117
Site 12,5,Female,2,1.0634002235574456,2.35745975632007
Site 12,5,Female,3,2.0317782831225903,2.010633564224341
Site 12,5,Male,4,1.784264453559707,1.9154521890696217
Site 12,5,Female,5,0.6542438698809908,1.864671226868018
Site 12,5,Female,6,0.5949647018827392,2.252697808710103
Site 12,5,Female,7,1.1731907171384033,2.0907902247138477
Site 12,5,Male,8,0.6852541937448584,1.8909701974780428
Site 12,5,Male,9,1.1935255921626862,2.324282493553822
Site 12,5,Female,10,0.648592604192342,2.216398653745832
Site 12,5,Female,11,1.0719020795922374,1.668690470512431
Site 12,5,Female,12,1.5511707696208994,1.8226169114646678
Site 12,5,Male,13,1.6748137501869549,2.0947862708784277
Site 12,5,Male,14,1.3595692531138084,2.051170529181081
Site 12,5,Female,15,1.2036897696295128,1.6927176149722212
Site 12,5,Female,16,1.446351170777312,1.933888002881296
Site 12,5,Male,17,1.1459227651118225,1.5541490535736768
Site 12,5,Female,18,1.183111960371721,2.1021085875816135
Site 12,5,Female,19,1.2008036057004938,2.341697835591842
Site 12,5,Male,20,1.5814987769615687,1.4892205694311618
Site 13,1,Female,1,5.58537748358336,0.7375016840493869
Site 13,1,Male,2,5.415568855458024,2.5134618927078765
Site 13,1,Female,3,5.104053739728484,2.331010308800722
Site 13,1,Male,4,5.002313891143867,1.0003957783283577
Site 13,1,Male,5,5.152996232924298,2.3227637150017912
Site 13,1,Female,6,5.135136488087152,1.927857033794182
Site 13,1,Male,7,4.788804108229123,3.0906843828406685
Site 13,1,Male,8,5.740777104911865,2.0979607801516775
Site 13,1,Female,9,5.598633219783566,0.9649907356701559
Site 13,1,Male,10,5.239356400263966,2.210517222932944
Site 13,1,Female,11,4.862315092106425,1.099193500973529
Site 13,1,Male,12,5.208821813545584,2.974369325915787
Site 13,1,Male,13,4.711076027306819,1.3631146305523907
Site 13,1,Male,14,4.899117467822629,2.1960798946607247
Site 13,1,Male,15,5.430016478230995,1.9198014272840762
Site 13,1,Male,16,4.745487280409739,2.1316626517406774
Site 13,1,Male,17,5.204584702064526,2.2424089594320127
Site 13,1,Male,18,5.102180058542836,1.0234149229554375
Site 13,1,Female,19,5.407472459677121,2.269549850057103
Site 13,1,Male,20,4.97850297125837,1.446270565310368
Site 13,2,Female,1,5.223792763582722,1.361907618199513
Site 13,2,Female,2,5.623267584459676,1.456155965252877
Site 13,2,Female,3,5.622029614974202,2.840171794690306
Site 13,2,Female,4,5.1792215621754645,1.57686257923132
Site 13,2,Male,5,5.299087207864485,2.3492451772091374
Site 13,2,Female,6,5.006202478589501,2.0676924408619914
Site 13,2,Male,7,4.18630698895647,1.8051163548442524
Site 13,2,Male,8,4.78927213551088,1.4168558205505737
Site 13,2,Male,9,4.706593386805524,1.9768659976937326
Site 13,2,Female,10,5.0874174837602935,1.2520609568466778
Site 13,2,Female,11,5.569078503177833,0.6525927378783289
Site 13,2,Male,12,5.853087617151856,1.9283998549906884
Site 13,2,Male,13,5.193715093332786,1.5217674137318602
Site 13,2,Female,14,5.605744067966223,2.548792420128341
Site 13,2,Female,15,5.4283787847413025,1.900901515423693
Site 13,2,Female,16,4.442624736013455,1.80562565229083
Site 13,2,Female,17,4.681036723318866,2.9814156594819137
Site 13,2,Female,18,6.088822177505646,2.6365043473216367
Site 13,2,Male,19,5.4525789986080815,0.5494439159557247
Site 13,2,Female,20,4.932597362656645,2.3035103515038444
Site 13,3,Female,1,5.363115333392652,3.7308298241708044
Site 13,3,Male,2,5.172686411936215,2.5574687683403607
Site 13,3,Male,3,5.08347715268395,3.0698386744201276
Site 13,3,Male,4,4.803949010675368,0.5886157869097561
Site 13,3,Male,5,4.865645067329873,2.03540162836564
Site 13,3,Male,6,4.974581171701845,1.4470974483067072
Site 13,3,Male,7,5.354957388751355,2.070910122867982
Site 13,3,Female,8,5.482987558153202,1.4589851909101537
Site 13,3,Male,9,5.2891647450960795,0.7562087390861996
Site 13,3,Male,10,4.629923821508113,2.414633045551554
Site 13,3,Female,11,5.368432677839893,2.0595029099861
Site 13,3,Female,12,4.863800144203588,2.3038425060225287
Site 13,3,Male,13,5.506121589506791,2.0162559193222576
Site 13,3,Male,14,5.2253632968016355,0.5703030627004153
Site 13,3,Male,15,5.217626209027896,2.539334282714673
Site 13,3,Male,16,5.094267574625449,2.6565252536725357
Site 13,3,Male,17,4.764248195249913,2.9888970552169383
Site 13,3,Male,18,5.243152978883136,2.4607021109452614
Site 13,3,Female,19,4.959421226694445,1.516919868053266
Site 13,3,Female,20,5.547390504310658,1.3416444597454618
Site 13,4,Male,1,4.986215959924921,2.836334256947482
Site 13,4,Male,2,5.173497941501124,1.9734732201677085
Site 13,4,Female,3,5.234918488332517,1.58510095820792
Site 13,4,Male,4,5.009823929866185,2.481237298445868
Site 13,4,Male,5,5.048087946006679,0.839850883178097
Site 13,4,Female,6,5.51783173347309,0.4863251850431156
Site 13,4,Female,7,5.320101510344535,2.238923700784845
Site 13,4,Female,8,4.969618266545564,2.554524336172543
Site 13,4,Female,9,5.126187256210266,2.212512012297502
Site 13,4,Female,10,5.0967487467049555,0.7995114707274973
Site 13,4,Female,11,5.808916800398715,3.519704913447317
Site 13,4,Male,12,4.923223185870472,2.1749739904110545
Site 13,4,Female,13,5.134328722948102,3.373430407768538
Site 13,4,Male,14,4.909419741582492,2.2812545230006203
Site 13,4,Male,15,5.0546938577292835,1.9604143055610401
Site 13,4,Male,16,5.277396048224956,2.0486147414765408
Site 13,4,Male,17,5.135124258549433,1.4630126537539117
Site 13,4,Female,18,5.132528488893008,1.058961454837094
Site 13,4,Male,19,4.871900675146284,0.8662668990186047
Site 13,4,Female,20,4.7244953299217345,2.663580046393213
Site 13,5,Male,1,5.554966976101459,1.488894901259616
Site 13,5,Female,2,5.69897189598511,2.2115143438424982
Site 13,5,Male,3,4.901371045086653,2.48133136908331
Site 13,5,Male,4,4.940623443316525,1.2933868349174475
Site 13,5,Female,5,4.703405057688029,2.756260449882284
Site 13,5,Female,6,5.155609904659125,1.6995350672738085
Site 13,5,Male,7,4.486836775245296,1.0850911754868338
Site 13,5,Female,8,5.1796385188345875,1.5964381394175793
Site 13,5,Male,9,5.373019612096626,1.1088017577385272
Site 13,5,Female,10,5.645092933016111,1.5294646983200726
Site 13,5,Male,11,5.226457545029849,1.4218627544909301
Site 13,5,Female,12,5.135366179872749,1.1670733923372363
Site 13,5,Female,13,4.653665839841529,1.2621473073278584
Site 13,5,Female,14,5.435214185227006,1.9371866983821953
Site 13,5,Male,15,5.227653056236316,2.321497293655452
Site 13,5,Male,16,4.687160412648056,2.782028011841608
Site 13,5,Male,17,5.315797471568242,3.069037683841082
Site 13,5,Male,18,4.8092670791743615,1.271835141188324
Site 13,5,Male,19,4.733158890940494,1.7202752886262336
Site 13,5,Male,20,5.836628266594837,2.1772579030597616
Site 14,1,Female,1,1.7325151847365707,1.4940114192806249
Site 14,1,Male,2,2.0829852991894526,2.225714600302619
Site 14,1,Male,3,2.4775101346354367,2.3328597749937243
Site 14,1,Female,4,2.699493227452034,1.0027289124129122
Site 14,1,Female,5,2.5413869209922084,1.6857157031660899
Site 14,1,Male,6,1.8910229748642782,1.257371683934946
Site 14,1,Male,7,2.2899660269650797,1.9301785503935691
Site 14,1,Female,8,2.206051920673979,1.3932523389119291
Site 14,1,Female,9,2.141845340204484,2.3311704647636233
Site 14,1,Male,10,2.1933808897005602,1.3152053090342202
Site 14,1,Female,11,1.1777883580545438,0.7897793496654012
Site 14,1,Female,12,1.8325936055423593,1.898620743190854
Site 14,1,Female,13,2.172132152775864,2.2662211827851397
Site 14,1,Male,14,2.014447837743276,1.061782920382906
Site 14,1,Female,15,2.0055130988288723,0.9606071607134321
Site 14,1,Male,16,2.2936068334583637,1.455186036750265
Site 14,1,Male,17,2.7299964603119955,1.6249954201133519
Site 14,1,Male,18,2.4277315638090813,0.916207210188051
Site 14,1,Male,19,2.3544868323925687,2.3311440198813074
Site 14,1,Female,20,1.585267884679837,1.2742816628448739
Site 14,2,Female,1,2.826290908513142,1.578683940245491
Site 14,2,Female,2,2.365879310800079,2.233109728650176
Site 14,2,Male,3,1.8034004777978931,0.7938225216083352
Site 14,2,Female,4,2.3808029356387315,1.2086936420714816
Site 14,2,Female,5,1.9943453111670184,1.5743724968044799
Site 14,2,Male,6,1.8630464187418523,1.8609770025793804
Site 14,2,Female,7,2.1786825381327475,1.7272290763357148
Site 14,2,Male,8,1.8613632586096798,0.7884485014547178
Site 14,2,Female,9,2.464438235925066,1.8290442474163262
Site 14,2,Female,10,1.4249077356499962,1.4429140192011292
Site 14,2,Female,11,1.8544423298081714,1.9269395021303208
Site 14,2,Female,12,2.002745759883347,0.5460160917982342
Site 14,2,Male,13,2.5521144109151397,1.3536921367546446
Site 14,2,Female,14,2.3010127938385727,0.7992920710221941
Site 14,2,Female,15,1.817034899024626,1.318545365517174
Site 14,2,Female,16,1.821857461924926,1.6836980768160266
Site 14,2,Female,17,2.0607824434565796,1.5597943589443124
Site 14,2,Female,18,2.4735601418808075,0.9713392445258169
Site 14,2,Female,19,1.892979575155562,1.5947952965807608
Site 14,2,Male,20,2.0493863465102597,0.5811888277434702
Site 14,3,Male,1,2.3868908273068703,1.1912110429631133
Site 14,3,Male,2,2.176842358782145,0.7630560276053494
Site 14,3,Female,3,1.8604437396932094,0.47514798627462107
Site 14,3,Female,4,2.161403286981897,2.2215615427753725
Site 14,3,Female,5,1.9238892133541954,1.1432519071213834
Site 14,3,Male,6,1.5003109300868098,1.6606480025951242
Site 14,3,Male,7,2.368791120172115,1.650987096001291
Site 14,3,Male,8,2.0348594244435767,1.0547442869331132
Site 14,3,Male,9,1.7346600336848617,0.6923580921647682
Site 14,3,Female,10,1.8855705832543874,1.3548572416819382
Site 14,3,Female,11,2.058775390048705,1.1352765199076353
Site 14,3,Male,12,1.879930825106524,0.845443781178069
Site 14,3,Female,13,2.74785179292635,0.8357107535715049
Site 14,3,Female,14,1.9655856329672672,1.845171438470575
Site 14,3,Female,15,2.3531801472553746,0.7862190574730178
Site 14,3,Male,16,2.2795294656975984,1.2726632338034116
Site 14,3,Male,17,1.6166535371236561,0.7463496129092846
Site 14,3,Male,18,1.3366926128420409,1.616410717971463
Site 14,3,Female,19,2.141131579997409,0.7146586729407609
Site 14,3,Female,20,2.3612873355851653,0.4095281891823168
Site 14,4,Female,1,2.182497726316435,1.2924176351458234
Site 14,4,Female,2,2.4243984970982746,2.483605598013121
Site 14,4,Male,3,2.5566175666379176,0.9436089999909316
Site 14,4,Female,4,1.8927305818475915,2.0670252236447446
Site 14,4,Male,5,2.237852435211077,0.9643370789740049
Site 14,4,Male,6,2.009490288253639,1.3597188012316768
Site 14,4,Male,7,2.7722830095721998,1.3915337256877351
Site 14,4,Male,8,2.0725235033943914,1.0655501621277448
Site 14,4,Female,9,2.2884429416143934,1.550663104368439
Site 14,4,Male,10,1.9636306796505036,1.4026031176680007
Site 14,4,Male,11,2.5190569801662637,1.9599437703368454
Site 14,4,Female,12,2.190084440045019,1.7373940839793323
Site 14,4,Female,13,2.113113120321999,1.273436302102113
Site 14,4,Male,14,1.9298304005467333,0.6003362734761168
Site 14,4,Female,15,2.4332616576128134,1.8492749103415038
Site 14,4,Male,16,2.3797626925826023,1.1282634270063545
Site 14,4,Female,17,2.5279173375095287,1.2101104416384751
Site 14,4,Male,18,2.4456205387200463,1.6163177987270063
Site 14,4,Female,19,2.2921081679496593,1.591292137895739
Site 14,4,Male,20,2.2580890259911097,1.434231437931843
Site 14,5,Female,1,1.781581607158015,1.632393493974102
Site 14,5,Female,2,2.057085584245336,1.096593051330908
Site 14,5,Male,3,2.0008367270967438,1.1682907216837517
Site 14,5,Male,4,2.0163329138719335,0.9376386177377465
Site 14,5,Female,5,1.9416379983868868,1.461411290557222
Site 14,5,Female,6,1.6593032417062477,0.9092435012672925
Site 14,5,Male,7,2.133062263383642,0.75619830774837
Site 14,5,Female,8,1.7442602744644844,1.5532080338810834
Site 14,5,Female,9,1.988456855972693,1.4442019182595924
Site 14,5,Female,10,1.3434396140601552,1.6174423266445725
Site 14,5,Female,11,2.24292849719347,0.4040004681883499
Site 14,5,Female,12,1.765927580618172,1.5638718057672811
Site 14,5,Male,13,1.7974290612951005,2.165676281964155
Site 14,5,Female,14,2.2535627811703827,1.4395380007092184
Site 14,5,Female,15,1.9679531349265065,1.6796986900254087
Site 14,5,Female,16,2.472074903185435,1.8861899021320654
Site 14,5,Female,17,2.5005195790721597,1.9441205603110796
Site 14,5,Female,18,1.9252042667068856,1.531794262990359
Site 14,5,Female,19,1.8137059730264533,0.8873401681427292
Site 14,5,Female,20,1.981024854531773,1.8331526527260853
Site 15,1,Female,1,1.003588755316644,1.7461077198913468
Site 15,1,Female,2,2.027909898385359,1.87408311366264
Site 15,1,Female,3,0.6983497109569877,1.9159246329176618
Site 15,1,Female,4,0.7248295931238675,2.664033752202321
Site 15,1,Female,5,1.8137255254936575,2.363837363374262
Site 15,1,Male,6,1.3251210814885668,1.8324279514595916
Site 15,1,Female,7,1.4234261245832727,1.2138796609819567
Site 15,1,Female,8,1.345850438531968,1.7139572224290585
Site 15,1,Female,9,1.9571505945902017,1.5106066554034183
Site 15,1,Female,10,0.6068684207017576,2.084113513191239
Site 15,1,Female,11,1.582098558632603,1.5650907186404246
Site 15,1,Male,12,1.320739893472129,1.7062950118104665
Site 15,1,Male,13,0.9464473052159044,1.6264790032381895
Site 15,1,Female,14,0.5033367199772505,2.17026386770325
Site 15,1,Female,15,1.024827661700852,2.2155597272925647
Site 15,1,Female,16,1.7402616830041238,2.6227504848393117
Site 15,1,Female,17,0.8948112644112993,1.8974635090613476
Site 15,1,Female,18,1.1592828738256697,2.036150535321537
Site 15,1,Female,19,1.2248676122705826,2.1020730987966814
Site 15,1,Male,20,1.5142313289208722,2.721151363290849
Site 15,2,Male,1,1.111496769062421,1.9598727813365346
Site 15,2,Female,2,2.0529535016708373,1.9740883653603851
Site 15,2,Male,3,1.4295258778250965,2.3008283487513546
Site 15,2,Male,4,1.553953328742287,1.8898663985625228
Site 15,2,Female,5,0.43453987526561866,1.841838202557881
Site 15,2,Male,6,1.4192713725282529,2.1816550738847407
Site 15,2,Female,7,1.059576431138603,2.1825009250647147
